191.173	1097.8	0	1003.66
-300.165	434.5	1498.65	2390.2
-300.145	438.02	2421.86	2619
-309.029	436.205	3226.35	4227.11
-583.521	475.146	4971.71	7972.58
-581.36	470.87	8071.63	8222.69
-1388.85	535.409	10223.6	10593.7
-1382.77	535.192	10825.3	12159.1
-1382.96	545.247	12310.5	12411.2
-1386.12	553.54	13921.7	15309.8
-1390.37	539.817	18149.1	18741.6
-1724.73	1449.86	20072.5	20831
-1725.47	1451.96	21431.8	21518
-1721.61	1452.92	22951.3	23604.5
-1717.72	1462.93	23880.6	26651.6
-1710.73	1462.97	26709.4	28864.8
-1715.45	1459.99	29627	31122.4
-1715.99	1459.94	31158.7	33276.9
-1710.5	1458.76	33567.7	35754
-1709.31	1451.72	36269.7	37236.8
-1710.87	1455.86	37279.3	37737.3
-1701.34	1454.22	38756.9	38929
-1698.61	1451.06	39889.8	40046.2
-1699.54	1458.36	40735.7	40889.6
-1696.92	1445.25	41228.6	42906
-1702.98	1435.87	43982.6	44600
-1697.96	1439.8	44732.1	46988.1
-1698.53	1443.12	47030.3	48668.4
-1687.58	1438.53	48793.9	52068.4
-1689.5	1422.69	52760.9	53881.6
-1678.62	1421.91	54006.5	55795.1
-1679.55	1426.64	55917	57913.7
-2368.7	909.4	58663.3	59588.9
-2370.6	902.841	60724.7	61176
-2363.79	905.585	61211.9	61401.8
-2355.29	894.241	61556.7	62317.2
-2348.76	893.019	62807.4	66361.9
-2341.95	885.66	66732.1	67793.9
-2336.57	883.54	69586	70440.5
-2340.62	888.483	70473.8	71931.4
-2335.16	883.317	72507.5	82616.2
-2345.85	882.044	82802.6	85193.2
