338.98	450
2.20464	30
315.439	480
908.333	2400
33.7078	90
16.0685	60
22.5667	150
26.5849	150
2.21227	30
6.24244	30
6.25407	30
7.8688	60
10.909	30
30.1436	150
7.20908	150
23.8808	540
19.7636	240
22.8094	120
24.6189	270
10.6629	270
13.2642	30
24.5022	660
25.0166	510
40.2855	450
11.9011	30
13.7159	300
5.44038	90
15.4265	570
14.603	120
10.9086	30
12.783	60
965.57	930
833.964	870
146.1	270
6.67442	90
25.2976	600
7.4001	30
15.0364	30
4.63796	30
19.1959	180
5.01959	30
23.7373	480
32.402	270
1.55471	120
9.48048	90
6.5403	30
105.79	420
102.984	1860
5.49272	90
47.3924	960
63.3873	840
4.9431	270
5.44249	30
8.73318	30
11.9615	120
8.31785	30
1.96371	120
6.01545	30
27.2042	540
12.6624	390
24.5028	390
4.76056	840
28.2054	750
1499.53	270
560.39	240
7.43522	30
9.80271	30
2.55088	150
4.99507	30
11.6822	510
5.27446	150
6.53364	30
6.68633	90
9.5859	90
27.1373	330
24.3852	420
7.5678	450
31.355	300
7.78838	240
2.48735	150
7.96267	30
4.60899	30
4.74262	30
1997.24	990
7.31252	120
1.8886	90
3.21566	60
3.99877	30
5.0698	60
5.54271	60
15.6952	480
4.31002	2190
8.85361	720
11.5632	30
13.0044	30
86.3037	420
62.1713	60
29.4765	60
10.1762	30
10.2273	30
21.524	450
1407.28	1800
188.639	180
967.147	600
90.4854	660
68.1123	60
11.3988	30
16.3765	60
6.45755	30
236.749	630
2.50106	600
772.796	1230
24.5941	30
7.34579	30
22.306	480
16.5793	300
9.93335	150
735.319	2730
3.46805	30
11.6618	30
593.868	210
5.76633	30
1536.85	270
358.37	90
322.947	180
15.7739	30
9.31994	60
12.3609	30
6.11021	90
2.7075	60
37.7346	90
9.42194	30
12.8321	30
18.9065	60
3.12892	30
16.3374	60
5.18836	30
8.11897	30
9.12788	30
21.8528	180
6.08858	30
14.9907	90
14.407	180
853.151	480
2387.44	420
3.02662	30
7.04848	30
4.49351	30
10.7669	30
5.78216	30
5.71325	30
8.36554	30
709.908	240
640.552	1200
116.501	120
708.593	1080
28.5749	300
46.8264	270
17.183	120
14.1631	300
22.0358	60
10.803	30
11.1718	30
34.6987	90
12.6951	90
895.814	420
5.97722	30
23.4864	180
21.7048	30
7.51128	30
8.77049	30
10.4277	30
5.07879	30
2.41298	30
3.732	30
14.7277	30
4.79045	30
11.6893	30
12.2633	30
8.53638	30
745.704	1170
13.8537	30
20.5401	210
13.1866	30
1.85785	30
10.1583	30
9.16795	30
5.45311	30
2.68554	30
3.74015	30
2.27383	30
4.42398	30
9.83578	30
5.62905	30
3.2924	30
13.2458	30
24.6648	60
20.2765	60
8.41177	30
6.00554	30
4.64053	30
6.97164	30
5.12214	30
5.17953	30
2.13792	30
458.123	150
1661.11	150
825.521	150
741.52	240
2171.18	480
336.834	1800
11.9962	1020
8.79233	510
28.7282	120
540.846	1440
1686.47	180
1817.5	300
2316.29	480
1212.97	300
23.7567	390
28.7379	870
21.66	30
34.9777	120
11.1181	90
13.6839	90
30.8196	960
289.077	1230
14.9764	30
42.7199	600
1102.26	1710
910.896	810
79.8625	90
27.9391	120
13.4246	30
12.5759	90
993.783	2700
1053.23	540
208.91	150
97.4416	270
624.015	1110
4.4819	60
4.23862	150
3.64496	120
12.0184	30
7.58927	30
7.90648	30
5.98988	30
0.158316	30
0.584145	30
3.3327	60
2.19045	30
7.42468	30
16.999	60
2.99565	60
4.41328	600
651.603	720
869.62	540
852.17	120
450.426	120
861.091	810
22.1994	60
3.64231	90
13.5847	300
157.92	360
224.895	360
2038.47	1740
1913.2	750
285.59	360
100.09	120
66.7331	990
12.2482	210
